修正検討ワード:,表記揃えワード:,要検討ワード:,注記:,,
ケ月,か月,,,,
カ月,か月,,,,
キミ,きみ,,,,
気味,きみ,,,,
来る,くる,,,,
来れ,くれ,,,,
来い,こい,,,,
済ま,すま,,,,
済み,すみ,,,,
済む,すむ,,,,
済め,すめ,,,,
済も,すも,,,,
済ん,すん,,,,
是非,ぜひ,,,,
出さ,ださ,,,,
出し,だし,,,,
出す,だす,,,,
出せ,だせ,,,,
出そ,だそ,,,,
出よ,でよ,,,,
出る,でる,,,,
出れ,でれ,,,,
出ろ,でろ,,,,
無い,ない,,,,
無う,なう,,,,
無く,なく,,,,
馬鹿,ばか,,,,
バカ,ばか,,,,
ヘン,へん,,,,
真ん,まん,,,,
むだ,無駄,,,,
ムダ,無駄,,,,
むり,無理,,,,
ムリ,無理,,,,
目指,めざ,,,,
もた,持た,,,,
もち,持ち,,,,
もつ,持つ,,,,
もっ,持っ,,,,
もて,持て,,,,
もと,持と,,,,
モノ,もの,,,,
ヤツ,やつ,,,,
良い,よい,,,,
良う,よう,,,,
良く,よく,,,,
我が,わが,,,,
１つ,一つ,,,,
１人,一人,,,,
充分,十分,,,,
じゅうぶん,十分,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
出,で,,,,
来,こ,,,,
来,き,,,,
し取る,しとる,,,,
し出す,しだす,,,,
変,へん,,,,
嫌,いや,,,,
良く,よく,,,,
みな,みんな,,,,
し付く,しつく,,,,
し立つ,したつ,,,,
体,からだ,,,,
達,たち,,,,
目,め,,,,
一,ひと,,,,
誰,だれ,,,,
何,なに,,,,
程,ほど,,,,
位,くらい,,,,
今,いま,,,,
間,あいだ,,,,
後,あと,,,,
頃,ころ,,,,
君,きみ,,,,
彼,かれ,,,,
事,こと,,,,
時,とき,,,,
所,ところ,,,,
次,つぎ,,,,
度,たび,,,,
中,なか,,,,
他,ほか,,,,
方,ほう,,,,
分,ぶん,,,,
僕,ぼく,,,,
ボク,ぼく,,,,
物,もの,,,,
者,もの,,,,
間,ま,,,,
前,まえ,,,,
前,まえ,,,,
奴,やつ,,,,
私,わたし,,,,
訳,わけ,,,,
皆,みんな,,,,
中,じゅう,,,,
ダレ,だれ,,,,
２～３人,２、３人,,,,
見つける,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
アラビア数字（算用数字）,漢数字,,,,
麴→麹,,,,,
嚙む→噛む,,,,,
麵→麺,,,,,
,,,,,
